industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,explanation,pairing_explanation,references,pages
"['b1-apparel-accessories-and-footwear', 'b3-building-products-and-furnishings', 'b4-e-commerce', 'b6-multiline-and-specialty-retailers-and-distributors', 'b22-food-retailers-and-distributors', 'b25-processed-foods']",Cross-Industry Comparison,"When comparing the sustainability reporting requirements for the E-Commerce, Food Retailers & Distributors, and Processed Foods industries, which environmental impact is uniquely emphasized in the Food Retailers & Distributors industry?",Energy management in data centers,Water consumption in operations,Greenhouse gas emissions from product transportation,Refrigerant emissions and management,Packaging waste reduction,D: Refrigerant emissions and management,"While all three industries have sustainability reporting requirements, the Food Retailers & Distributors industry uniquely emphasizes refrigerant emissions and management. This is evident in the specific metrics for gross global Scope 1 emissions from refrigerants (FB-FR-110b.1), percentage of refrigerants with zero ozone-depleting potential (FB-FR-110b.2), and average refrigerant emissions rate (FB-FR-110b.3). This focus reflects the significant use of refrigeration in food retail operations, which is not as prominent in E-Commerce or Processed Foods industries.","These industries involve extensive supply chain management, global sourcing, and retail operations. Comparing their sustainability practices can provide insights into managing environmental impacts and ethical sourcing throughout extensive supply chains.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Food Retailers & Distributors', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods']","['27', '218', '259']"
"['b1-apparel-accessories-and-footwear', 'b3-building-products-and-furnishings', 'b4-e-commerce', 'b6-multiline-and-specialty-retailers-and-distributors', 'b22-food-retailers-and-distributors', 'b25-processed-foods']",Cross-Industry Comparison,"In comparing the supply chain management reporting requirements for the Apparel, Accessories & Footwear, Building Products & Furnishings, and Processed Foods industries, which aspect is uniquely emphasized for the Processed Foods industry?",Traceability of raw materials,Use of recycled materials,Supplier social and environmental audits,Certifications for sustainable forestry,Animal welfare in the supply chain,E: Animal welfare in the supply chain,"While all three industries have supply chain management reporting requirements, the Processed Foods industry uniquely emphasizes animal welfare in the supply chain. This is evident in the metric FB-FR-430a.2, which requires reporting on the percentage of eggs from cage-free environments and pork produced without gestation crates. Additionally, FB-FR-430a.3 explicitly mentions discussing animal welfare standards in the supply chain. This focus is not present in the reporting requirements for the Apparel or Building Products industries, reflecting the unique ethical considerations in food production.","These industries involve extensive supply chain management, global sourcing, and retail operations. Comparing their sustainability practices can provide insights into managing environmental impacts and ethical sourcing throughout extensive supply chains.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Apparel, Accessories & Footwear', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods']","['8', '22', '224']"
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Reporting Requirements,"According to IFRS standards, which of the following is a required disclosure for companies in the Oil & Gas - Exploration & Production industry but NOT for companies in the Pulp & Paper Products industry?",Total energy consumed,Percentage of energy from renewable sources,Gross global Scope 1 emissions,Volume of produced water and flowback generated,Water consumption in water-stressed areas,D. Volume of produced water and flowback generated,"The Oil & Gas - Exploration & Production industry specifically requires disclosure of the volume of produced water and flowback generated (EM-EP-140a.2), while this is not a requirement for the Pulp & Paper Products industry. Both industries are required to disclose total energy consumed, percentage of renewable energy, gross global Scope 1 emissions, and water consumption in water-stressed areas.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Pulp & Paper Products']","['99', '456']"
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Reporting Requirements,Which of the following disclosures is required for the Oil & Gas - Refining & Marketing industry but NOT for the Coal Operations industry?,Gross global Scope 1 emissions,Discussion of long-term and short-term strategy to manage Scope 1 emissions,Total fresh water withdrawn,Percentage of water recycled,Total addressable market for advanced biofuels,E. Total addressable market for advanced biofuels,"The Oil & Gas - Refining & Marketing industry specifically requires disclosure of the total addressable market for advanced biofuels (EM-RM-410a.2), which is not a requirement for the Coal Operations industry. Both industries are required to disclose gross global Scope 1 emissions, strategies to manage emissions, and water management metrics.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['122', '43-44']"
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Metric Selection and Calculation,"When calculating the percentage of engines that meet emissions standards in the Oil & Gas - Services industry, which of the following is the correct denominator?",Total number of engines owned by the company,Total number of active engines during the reporting period,Total number of engines manufactured in the reporting year,Total number of engines in compliance with any emissions standard,Total number of engines used in offshore operations,B. Total number of active engines during the reporting period,"According to EM-SV-110a.3, the percentage is calculated as the number of engines in compliance with the highest level of emissions standards divided by the total number of engines active during the reporting period.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services'],['128-129']
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Metric Selection and Calculation,"In the Pulp & Paper Products industry, how should a company calculate the percentage of recycled fiber content in its products?",Weight of recycled fiber / Total weight of all fiber used,Volume of recycled fiber / Total volume of all fiber used,Cost of recycled fiber / Total cost of all fiber used,Number of products with recycled content / Total number of products,Weight of post-consumer recycled fiber / Total weight of all fiber used,A. Weight of recycled fiber / Total weight of all fiber used,"According to RR-PP-430a.2, recycled content is defined as the portion, by mass, of recycled or recovered material in a product. The calculation should be based on the weight of recycled fiber divided by the total weight of all fiber used.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Pulp & Paper Products'],['468-469']
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Cross-Industry Comparison,"Which of the following sustainability considerations is MOST likely to be a shared focus across the Coal Operations, Oil & Gas - Exploration & Production, and Pulp & Paper Products industries?",Biodiversity impact of resource extraction,Management of Scope 1 greenhouse gas emissions,Recycled content in finished products,Flaring and venting of natural gas,Certification of raw material sources,B. Management of Scope 1 greenhouse gas emissions,"Management of Scope 1 greenhouse gas emissions is a key sustainability consideration shared by all three industries. Each industry standard requires disclosure of gross global Scope 1 emissions and discussion of strategies to manage these emissions, reflecting the universal importance of climate change mitigation across these sectors.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Pulp & Paper Products']","['43-45', '93-94', '456-458']"
"['b7-coal-operations', 'b10-metals-and-mining', 'b11-oil-and-gas-exploration-and-production', 'b13-oil-and-gas-refining-and-marketing', 'b14-oil-and-gas-services', 'b43-pulp-and-paper-products']",Cross-Industry Comparison,Which of the following metrics is UNIQUELY important to the Pulp & Paper Products industry compared to the Oil & Gas - Services and Coal Operations industries?,Total water withdrawn,Percentage of operations in water-stressed areas,Amount of recycled and recovered fiber procured,Gross global Scope 1 emissions,Energy consumption from renewable sources,C. Amount of recycled and recovered fiber procured,"The amount of recycled and recovered fiber procured (RR-PP-430a.2) is a metric uniquely important to the Pulp & Paper Products industry. This metric reflects the industry's focus on circular economy principles and sustainable resource use, which is not directly applicable to the Oil & Gas - Services or Coal Operations industries.","These industries involve significant extraction and processing of natural resources. Comparing their sustainability practices is insightful to address environmental degradation, resource efficiency, and social impacts on local communities.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Pulp & Paper Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations']","['468-470', '124-125', '43-44']"
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Reporting Requirements,For which of the following industries does IFRS S2 require disclosure of the percentage of total assets under management (AUM) included in the financed emissions calculation?,Asset Management & Custody Activities,Commercial Banks,Insurance,Investment Banking & Brokerage,All of the above,E. All of the above,"IFRS S2 requires disclosure of the percentage of total AUM included in the financed emissions calculation for Asset Management & Custody Activities (FN-AC-1), Commercial Banks (FN-CB-2), Insurance (FN-IN-2), and Investment Banking & Brokerage (as part of their overall emissions disclosure). This metric is crucial for understanding the scope of an entity's climate-related risk exposure across these financial industries.","These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],"['135', '169', '170', '176']"
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Reporting Requirements,Which of the following industries is required to disclose the 'Volume of recycled water delivered to customers' according to IFRS S2?,Asset Management & Custody Activities,Commercial Banks,Insurance,Water Utilities & Services,Mortgage Finance,D. Water Utilities & Services,IFRS S2 requires Water Utilities & Services to disclose the 'Volume of recycled water delivered to customers' under metric IF-WU-440a.2. This disclosure is specific to the water industry and reflects the importance of water recycling and conservation in sustainability reporting for water utilities.,"These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],['419']
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Metric Selection and Calculation,"When calculating financed emissions for the Insurance industry, which of the following is NOT included in the definition of 'gross exposure'?",Funded carrying amounts,Full amount of undrawn loan commitments,Contractual amounts for derivatives with gross cash flows,Net amounts for derivatives with net cash flows,Insurance policy premiums,E. Insurance policy premiums,"For the Insurance industry, the calculation of gross exposure for financed emissions includes funded carrying amounts, undrawn loan commitments, and both gross and net amounts for derivatives. Insurance policy premiums are not specifically included in this calculation of gross exposure for financed emissions.","These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],"['169', '170']"
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Metric Selection and Calculation,"In the Water Utilities & Services industry, how is the 'water main replacement rate' calculated according to IFRS S2?",Total length of pipe replaced during reporting period / Total length of distribution system,Total length of pipe replaced during reporting period / Total length of water mains in distribution system,Number of pipes replaced / Total number of pipes in distribution system,Cost of pipe replacement / Total value of distribution system,Volume of water saved through replacements / Total water volume distributed,B. Total length of pipe replaced during reporting period / Total length of water mains in distribution system,"According to IFRS S2, the water main replacement rate for Water Utilities & Services is calculated as the total length of pipe replaced during the reporting period divided by the total length of water mains in its distribution system. This metric helps assess the utility's efforts in maintaining and upgrading its infrastructure.","These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],"['412', '413']"
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Cross-Industry Comparison,Which of the following sustainability disclosure topics is common to both the Asset Management & Custody Activities and Investment Banking & Brokerage industries?,"Incorporation of Environmental, Social, and Governance Factors in Investment Management",Transition Risk Exposure,Environmental Risk to Mortgaged Properties,Network Resiliency & Impacts of Climate Change,Distribution Network Efficiency,B. Transition Risk Exposure,Both Asset Management & Custody Activities and Investment Banking & Brokerage industries have 'Transition Risk Exposure' as a common sustainability disclosure topic in IFRS S2. This reflects the importance of assessing and disclosing risks related to the transition to a low-carbon economy across these financial sectors.,"These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],"['141', '181']"
"['b15-asset-management-and-custody-activities', 'b16-commercial-banks', 'b17-insurance', 'b18-investment-banking-and-brokerage', 'b19-mortgage-finance', 'b39-water-utilities-and-services']",Cross-Industry Comparison,"In contrast to the financial industries (Asset Management, Commercial Banks, Insurance, and Investment Banking), which unique sustainability topic does the Water Utilities & Services industry address in its IFRS S2 disclosures?",Incorporation of ESG Factors in Credit Analysis,Facilitated Emissions,End-Use Efficiency,Transition Risk Exposure,Environmental Risk to Mortgaged Properties,C. End-Use Efficiency,"The Water Utilities & Services industry uniquely addresses 'End-Use Efficiency' as a sustainability topic in its IFRS S2 disclosures. This topic focuses on how utilities work with regulators to promote water conservation and ensure revenue resilience, which is specific to the water industry and not applicable to the financial industries mentioned.","These industries have a crucial role in financing and investing, impacting broader economic activities. Their sustainability practices influence risk management, customer protection, and the allocation of capital toward sustainable projects.",['IFRS S2 Climate-related Disclosures Appendix B'],"['414', '415']"
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Reporting Requirements,"When reporting on water management for the Agricultural Products, Alcoholic Beverages, and Non-Alcoholic Beverages industries, which of the following is NOT a required disclosure under IFRS S2?",Total water withdrawn,Total water consumed,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress,Water recycling rate,E. Water recycling rate,"The IFRS S2 standard requires companies in these industries to disclose total water withdrawn, total water consumed, and the percentages of each in regions with High or Extremely High Baseline Water Stress. Water recycling rate is not a required disclosure under this standard for these industries.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Alcoholic Beverages', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['196-197', '249-250', '249-250']"
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Reporting Requirements,"For the Meat, Poultry & Dairy industry, which additional water management metric is required that is not explicitly required for the Agricultural Products, Alcoholic Beverages, or Non-Alcoholic Beverages industries?",Water consumption intensity,Wastewater treatment efficiency,"Number of incidents of non-compliance with water quality permits, standards, and regulations",Percentage of facilities located in water-stressed regions,Volume of water reused in operations,"C. Number of incidents of non-compliance with water quality permits, standards, and regulations","The Meat, Poultry & Dairy industry is specifically required to report on the number of incidents of non-compliance with water quality permits, standards, and regulations (FB-MP-140a.3). This metric is not explicitly required for the Agricultural Products, Alcoholic Beverages, or Non-Alcoholic Beverages industries under IFRS S2.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Alcoholic Beverages', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['238', '196-199', '249-252', '249-252']"
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Metric Selection and Calculation,"A company operates in both the Alcoholic Beverages and Non-Alcoholic Beverages industries. When calculating the percentage of beverage ingredients sourced from regions with High or Extremely High Baseline Water Stress, what is the correct denominator to use?",Total volume of beverage ingredients sourced,Total weight of beverage ingredients sourced,Total number of beverage ingredients sourced,Total cost of beverage ingredients purchased from Tier 1 suppliers,Total revenue from beverage sales,D. Total cost of beverage ingredients purchased from Tier 1 suppliers,"For both the Alcoholic Beverages and Non-Alcoholic Beverages industries, the percentage of beverage ingredients sourced from regions with High or Extremely High Baseline Water Stress is calculated using the cost of ingredients. The denominator should be the total cost of beverage ingredients purchased from Tier 1 suppliers.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Alcoholic Beverages', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['255', '255']"
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Metric Selection and Calculation,"A company in the Food Retailers & Distributors industry is preparing its sustainability report. When calculating the percentage of revenue from eggs that originated from a cage-free environment, which of the following is the correct method?",Number of cage-free eggs sold divided by total number of eggs sold,Weight of cage-free eggs sold divided by total weight of eggs sold,Revenue from cage-free eggs sold divided by total revenue from eggs sold,Cost of cage-free eggs purchased divided by total cost of eggs purchased,Number of cage-free egg suppliers divided by total number of egg suppliers,C. Revenue from cage-free eggs sold divided by total revenue from eggs sold,"According to the IFRS S2 standard for the Food Retailers & Distributors industry, the percentage of revenue from eggs that originated from a cage-free environment should be calculated as the revenue from cage-free eggs sold divided by the total revenue from eggs sold.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Food Retailers & Distributors'],['224']
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Cross-Industry Comparison,"When comparing the Processed Foods industry with the Agricultural Products industry, which of the following sustainability considerations is more likely to be a direct focus for the Processed Foods industry but not for the Agricultural Products industry?",Water management in agricultural operations,Greenhouse gas emissions from livestock,Soil health and conservation practices,Environmental impact of packaging,Use of genetically modified organisms (GMOs),D. Environmental impact of packaging,"The Processed Foods industry is more likely to focus directly on the environmental impact of packaging as part of their sustainability considerations. This is evident in the IFRS S2 requirements for the Processed Foods industry, which include a discussion of strategies to reduce the environmental impact of packaging. The Agricultural Products industry, being primarily focused on raw material production, does not have a specific requirement to address packaging impacts in the same way.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products']","['226-227', '188-202']"
"['b20-agricultural-products', 'b21-alcoholic-beverages', 'b22-food-retailers-and-distributors', 'b23-meat-poultry-and-dairy', 'b24-non-alcoholic-beverages', 'b25-processed-foods']",Cross-Industry Comparison,"When preparing sustainability reports, which of the following metrics is uniquely required for the Meat, Poultry & Dairy industry compared to the Agricultural Products, Alcoholic Beverages, and Non-Alcoholic Beverages industries?",Total energy consumed,Percentage of renewable energy used,Water withdrawal in water-stressed regions,Greenhouse gas emissions,Amount of animal litter and manure generated,E. Amount of animal litter and manure generated,"The Meat, Poultry & Dairy industry uniquely requires reporting on the amount of animal litter and manure generated, and the percentage managed according to a nutrient management plan (FB-MP-160a.1). This metric is specific to the animal production aspects of this industry and is not required for the Agricultural Products, Alcoholic Beverages, or Non-Alcoholic Beverages industries.","These industries are interconnected within the food supply chain. Their sustainability practices are relevant in addressing environmental impacts, food safety, and ethical sourcing, ultimately influencing consumer health and environmental sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Alcoholic Beverages', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['239-240', '188-202', '203-213', '244-256']"
"['b27-drug-retailers', 'b28-health-care-delivery', 'b29-health-care-distributors', 'b30-managed-care', 'b31-medical-equipment-and-supplies', 'b55-hardware']",1,"When comparing the Drug Retailers and Health Care Delivery industries, which of the following is a required disclosure for both sectors regarding energy management?",Total energy consumed,Percentage of renewable energy used,Number of energy-efficient facilities,Cost savings from energy reduction initiatives,Energy intensity per square foot of retail space,A. Total energy consumed,Both the Drug Retailers (HC-DR-130a.1) and Health Care Delivery (HC-DY-130a.1) industries are required to disclose the total energy consumed as part of their energy management metrics. This is a common requirement across these sectors to provide insight into their overall energy usage and potential environmental impact.,"These industries play critical roles in public health and technological advancement. Comparing their sustainability practices can provide insights into managing healthcare delivery, innovation, and overall public well-being.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Drug Retailers', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Health Care Delivery']","['280', '283']"
"['b27-drug-retailers', 'b28-health-care-delivery', 'b29-health-care-distributors', 'b30-managed-care', 'b31-medical-equipment-and-supplies', 'b55-hardware']",1,"In the context of sustainability reporting for the Hardware and Medical Equipment & Supplies industries, which of the following is a common required disclosure related to product lifecycle management?",Percentage of products containing IEC 62474 declarable substances,"Total amount of products accepted for take-back and reused, recycled, or donated",Percentage of products meeting ENERGY STAR® criteria,Number of product recalls due to environmental concerns,Percentage of packaging made from recycled materials,"B. Total amount of products accepted for take-back and reused, recycled, or donated","Both the Hardware (TC-HW-410a.4) and Medical Equipment & Supplies (HC-MS-410a.2) industries are required to disclose the total amount of products accepted for take-back and reused, recycled, or donated. This metric is crucial for assessing the companies' efforts in managing the end-of-life cycle of their products and promoting a circular economy.","These industries play critical roles in public health and technological advancement. Comparing their sustainability practices can provide insights into managing healthcare delivery, innovation, and overall public well-being.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Hardware', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Medical Equipment & Supplies']","['557', '296']"
"['b27-drug-retailers', 'b28-health-care-delivery', 'b29-health-care-distributors', 'b30-managed-care', 'b31-medical-equipment-and-supplies', 'b55-hardware']",2,"When calculating the payload fuel economy metric for the Health Care Distributors industry, which of the following formulas should be used?",Total miles traveled / Total gallons of fuel consumed,Total gallons of fuel consumed / Total weight of goods transported,Total gallons of fuel consumed / (Total weight of paid tonnage transported × Total distance in miles goods were transported),Total weight of paid tonnage transported / Total gallons of fuel consumed,Total distance in miles goods were transported / Total gallons of fuel consumed,C. Total gallons of fuel consumed / (Total weight of paid tonnage transported × Total distance in miles goods were transported),"The correct formula for calculating payload fuel economy in the Health Care Distributors industry is: total gallons of fuel consumed / revenue ton miles (RTM), where revenue ton miles (RTM) = total weight of paid tonnage transported (payload) × total distance in miles goods were transported. This metric provides a comprehensive measure of fuel efficiency in relation to the weight and distance of goods transported.","These industries play critical roles in public health and technological advancement. Comparing their sustainability practices can provide insights into managing healthcare delivery, innovation, and overall public well-being.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Health Care Distributors'],['290']
"['b27-drug-retailers', 'b28-health-care-delivery', 'b29-health-care-distributors', 'b30-managed-care', 'b31-medical-equipment-and-supplies', 'b55-hardware']",2,"In the Hardware industry, when calculating the percentage of products meeting EPEAT registration or equivalent for sustainability reporting, which of the following is the correct approach?",Total number of EPEAT registered products / Total number of all products,Revenue from EPEAT registered products / Total revenue from all products,Number of EPEAT registered product categories / Total number of product categories,Revenue from EPEAT registered products / Revenue from products eligible for EPEAT registration,Number of EPEAT registered products / Number of products eligible for EPEAT registration,D. Revenue from EPEAT registered products / Revenue from products eligible for EPEAT registration,"The correct approach for calculating the percentage of products meeting EPEAT registration or equivalent in the Hardware industry is: Revenue from EPEAT registered products / Revenue from products eligible for EPEAT registration. This calculation method ensures that the metric reflects the proportion of eligible products that meet the EPEAT standards, providing a more accurate representation of the company's efforts in producing environmentally preferable electronic products.","These industries play critical roles in public health and technological advancement. Comparing their sustainability practices can provide insights into managing healthcare delivery, innovation, and overall public well-being.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Hardware'],['555']
"['b27-drug-retailers', 'b28-health-care-delivery', 'b29-health-care-distributors', 'b30-managed-care', 'b31-medical-equipment-and-supplies', 'b55-hardware']",3,"When comparing the sustainability reporting considerations for the Managed Care and Health Care Delivery industries, which of the following is a unique focus for the Managed Care sector?",Energy management in facilities,Medical waste management,Patient data security,Climate change impacts on human health,Water consumption in healthcare facilities,D. Climate change impacts on human health,"The Managed Care industry has a unique focus on climate change impacts on human health in its sustainability reporting considerations. The industry is required to discuss strategies to address the effects of climate change on business operations and how specific risks presented by changes in the geographic incidence, morbidity, and mortality of illnesses and diseases are incorporated into risk models (HC-MC-450a.1). This consideration is not explicitly mentioned for the Health Care Delivery industry in the given standards.","These industries play critical roles in public health and technological advancement. Comparing their sustainability practices can provide insights into managing healthcare delivery, innovation, and overall public well-being.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Managed Care', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Health Care Delivery']","['293', '288']"
